2026-01-15 20:28:30,980 - MainThread - INFO - Server initialized on 0.0.0.0:9999
2026-01-15 20:28:30,983 - MainThread - INFO - Server listening on 0.0.0.0:9999
2026-01-15 20:29:34,249 - Thread-1 (handle_client) - INFO - New connection from ('127.0.0.1', 60561)
2026-01-15 20:29:34,249 - Thread-1 (handle_client) - INFO - Client ('127.0.0.1', 60561) requested file: small.txt
2026-01-15 20:29:34,250 - Thread-1 (handle_client) - INFO - Sending file 'small.txt' (95 bytes) to ('127.0.0.1', 60561)
2026-01-15 20:29:34,255 - Thread-1 (handle_client) - INFO - Progress to ('127.0.0.1', 60561): 100% (95/95 bytes)
2026-01-15 20:29:34,257 - Thread-1 (handle_client) - INFO - File 'small.txt' sent successfully to ('127.0.0.1', 60561)
2026-01-15 20:29:34,257 - Thread-1 (handle_client) - INFO - Connection closed with ('127.0.0.1', 60561)
2026-01-15 20:30:10,868 - Thread-2 (handle_client) - INFO - New connection from ('127.0.0.1', 57773)
2026-01-15 20:30:10,869 - Thread-2 (handle_client) - INFO - Client ('127.0.0.1', 57773) requested file: medium.txt
2026-01-15 20:30:10,871 - Thread-2 (handle_client) - INFO - Sending file 'medium.txt' (61890 bytes) to ('127.0.0.1', 57773)
2026-01-15 20:30:10,911 - Thread-2 (handle_client) - INFO - Progress to ('127.0.0.1', 57773): 13% (8192/61890 bytes)
2026-01-15 20:30:10,912 - Thread-2 (handle_client) - INFO - Progress to ('127.0.0.1', 57773): 26% (16384/61890 bytes)
2026-01-15 20:30:10,912 - Thread-2 (handle_client) - INFO - Progress to ('127.0.0.1', 57773): 39% (24576/61890 bytes)
2026-01-15 20:30:10,913 - Thread-2 (handle_client) - INFO - Progress to ('127.0.0.1', 57773): 52% (32768/61890 bytes)
2026-01-15 20:30:10,916 - Thread-2 (handle_client) - INFO - Progress to ('127.0.0.1', 57773): 66% (40960/61890 bytes)
2026-01-15 20:30:10,918 - Thread-2 (handle_client) - INFO - Progress to ('127.0.0.1', 57773): 79% (49152/61890 bytes)
2026-01-15 20:30:10,920 - Thread-2 (handle_client) - INFO - Progress to ('127.0.0.1', 57773): 92% (57344/61890 bytes)
2026-01-15 20:30:10,921 - Thread-2 (handle_client) - INFO - File 'medium.txt' sent successfully to ('127.0.0.1', 57773)
2026-01-15 20:30:10,924 - Thread-2 (handle_client) - INFO - Connection closed with ('127.0.0.1', 57773)
2026-01-15 20:30:58,272 - Thread-3 (handle_client) - INFO - New connection from ('127.0.0.1', 52154)
2026-01-15 20:30:58,273 - Thread-3 (handle_client) - INFO - Client ('127.0.0.1', 52154) requested file: large.bin
2026-01-15 20:30:58,273 - Thread-3 (handle_client) - INFO - Sending file 'large.bin' (1048576 bytes) to ('127.0.0.1', 52154)
2026-01-15 20:30:58,296 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 10% (106496/1048576 bytes)
2026-01-15 20:30:58,297 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 20% (212992/1048576 bytes)
2026-01-15 20:30:58,309 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 30% (315392/1048576 bytes)
2026-01-15 20:30:58,312 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 40% (421888/1048576 bytes)
2026-01-15 20:30:58,315 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 50% (524288/1048576 bytes)
2026-01-15 20:30:58,318 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 60% (630784/1048576 bytes)
2026-01-15 20:30:58,321 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 70% (737280/1048576 bytes)
2026-01-15 20:30:58,322 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 80% (839680/1048576 bytes)
2026-01-15 20:30:58,325 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 90% (946176/1048576 bytes)
2026-01-15 20:30:58,326 - Thread-3 (handle_client) - INFO - Progress to ('127.0.0.1', 52154): 100% (1048576/1048576 bytes)
2026-01-15 20:30:58,328 - Thread-3 (handle_client) - INFO - File 'large.bin' sent successfully to ('127.0.0.1', 52154)
2026-01-15 20:30:58,328 - Thread-3 (handle_client) - INFO - Connection closed with ('127.0.0.1', 52154)
